"main_object","indicatorID","Period","Observation"
112513,"Employee_Division","2017","9567"
209002,"Employee_Division","2017","9296"
253061,"Employee_Division","2017","NA"
410905,"Employee_Division","2017","9370"
221847,"Employee_Division","2017","9290"
267532,"Employee_Division","2017","1844"
288873,"Employee_Division","2017","9281"
347313,"Employee_Division","2017","9286"
371925,"Employee_Division","2017","9277"
186575,"Employee_Division","2017","9281"
335288,"Employee_Division","2017","9277"
196166,"Employee_Division","2017","9303"
145282,"Employee_Division","2017","9339"
82606,"Employee_Division","2017","NA"
304598,"Employee_Division","2017","9277"
392503,"Employee_Division","2017","9371"
451830,"Employee_Division","2017","8800"
63793,"Employee_Division","2017","9279"
259099,"Employee_Division","2017","9377"
298352,"Employee_Division","2017","9371"
367371,"Employee_Division","2017","9370"
437222,"Employee_Division","2017","9463"
324603,"Employee_Division","2017","9367"
89179,"Employee_Division","2017","NA"
346789,"Employee_Division","2017","9555"
443517,"Employee_Division","2017","9333"
158704,"Employee_Division","2017","9307"
322373,"Employee_Division","2017","9299"
355111,"Employee_Division","2017","9377"
240960,"Employee_Division","2017","9290"
87618,"Employee_Division","2017","NA"
218991,"Employee_Division","2017","9566"
242134,"Employee_Division","2017","9370"
267727,"Employee_Division","2017","9301"
339964,"Employee_Division","2017","9369"
368183,"Employee_Division","2017","9336"
175165,"Employee_Division","2017","9368"
11462,"Employee_Division","2017","9591"
351976,"Employee_Division","2017","9326"
164219,"Employee_Division","2017","9325"
205355,"Employee_Division","2017","9329"
309021,"Employee_Division","2017","9325"
327471,"Employee_Division","2017","9299"
348113,"Employee_Division","2017","9303"
154353,"Employee_Division","2017","9278"
157314,"Employee_Division","2017","9278"
199080,"Employee_Division","2017","9369"
328659,"Employee_Division","2017","9375"
346505,"Employee_Division","2017","9326"
157885,"Employee_Division","2017","NA"
308413,"Employee_Division","2017","9567"
384956,"Employee_Division","2017","9336"
101074,"Employee_Division","2017","9327"
243226,"Employee_Division","2017","9335"
272765,"Employee_Division","2017","9330"
289805,"Employee_Division","2017","9369"
82643,"Employee_Division","2017","9280"
234915,"Employee_Division","2017","9279"
235182,"Employee_Division","2017","9279"
236631,"Employee_Division","2017","9279"
312939,"Employee_Division","2017","9281"
362059,"Employee_Division","2017","9277"
94416,"Employee_Division","2017","9302"
199088,"Employee_Division","2017","9290"
223991,"Employee_Division","2017","9309"
255520,"Employee_Division","2017","9335"
258002,"Employee_Division","2017","9375"
327161,"Employee_Division","2017","9401"
369332,"Employee_Division","2017","9279"
84303,"Employee_Division","2017","9325"
202429,"Employee_Division","2017","8186"
291764,"Employee_Division","2017","9369"
364571,"Employee_Division","2017","9330"
77865,"Employee_Division","2017","9329"
71739,"Employee_Division","2017","9282"
99327,"Employee_Division","2017","9332"
108027,"Employee_Division","2017","9282"
157934,"Employee_Division","2017","9285"
296357,"Employee_Division","2017","9552"
14932,"Employee_Division","2017","9286"
100147,"Employee_Division","2017","NA"
264730,"Employee_Division","2017","9555"
336610,"Employee_Division","2017","9375"
338170,"Employee_Division","2017","9373"
415720,"Employee_Division","2017","9284"
417575,"Employee_Division","2017","9373"
242824,"Employee_Division","2017","9333"
456852,"Employee_Division","2017","9329"
18456,"Employee_Division","2017","9330"
73290,"Employee_Division","2017","9366"
300917,"Employee_Division","2017","9553"
209088,"Employee_Division","2017","9377"
235789,"Employee_Division","2017","9303"
377165,"Employee_Division","2017","9324"
234843,"Employee_Division","2017","9377"
376666,"Employee_Division","2017","9327"
16158,"Employee_Division","2017","9285"
282044,"Employee_Division","2017","8186"
302421,"Employee_Division","2017","8316"
344858,"Employee_Division","2017","9375"
353911,"Employee_Division","2017","9303"
373561,"Employee_Division","2017","9401"
458854,"Employee_Division","2017","9566"
214935,"Employee_Division","2017","9335"
339718,"Employee_Division","2017","9329"
211518,"Employee_Division","2017","9280"
275385,"Employee_Division","2017","9279"
317293,"Employee_Division","2017","9336"
359522,"Employee_Division","2017","9304"
22444,"Employee_Division","2017","9376"
395877,"Employee_Division","2017","9335"
464677,"Employee_Division","2017","9335"
326583,"Employee_Division","2017","9299"
331572,"Employee_Division","2017","9567"
337445,"Employee_Division","2017","9567"
353497,"Employee_Division","2017","9326"
422000,"Employee_Division","2017","9334"
156028,"Employee_Division","2017","9333"
289203,"Employee_Division","2017","9299"
203016,"Employee_Division","2017","9299"
388192,"Employee_Division","2017","9302"
381682,"Employee_Division","2017","8316"
459706,"Employee_Division","2017","9282"
106601,"Employee_Division","2017","9368"
249875,"Employee_Division","2017","9332"
299720,"Employee_Division","2017","9301"
80879,"Employee_Division","2017","9308"
177898,"Employee_Division","2017","9555"
372660,"Employee_Division","2017","9301"
409570,"Employee_Division","2017","9366"
464771,"Employee_Division","2017","9325"
246751,"Employee_Division","2017","9327"
305564,"Employee_Division","2017","9327"
345018,"Employee_Division","2017","9369"
346619,"Employee_Division","2017","9278"
359474,"Employee_Division","2017","9327"
374949,"Employee_Division","2017","9303"
381766,"Employee_Division","2017","9328"
395087,"Employee_Division","2017","8316"
17628,"Employee_Division","2017","NA"
366012,"Employee_Division","2017","9278"
272566,"Employee_Division","2017","9303"
72707,"Employee_Division","2017","9303"
287353,"Employee_Division","2017","9293"
292930,"Employee_Division","2017","9302"
15643,"Employee_Division","2017","9371"
145764,"Employee_Division","2017","NA"
351346,"Employee_Division","2017","9332"
458297,"Employee_Division","2017","9282"
83602,"Employee_Division","2017","9301"
225104,"Employee_Division","2017","9312"
275389,"Employee_Division","2017","9297"
309782,"Employee_Division","2017","9309"
374943,"Employee_Division","2017","9377"
257620,"Employee_Division","2017","9325"
416046,"Employee_Division","2017","9335"
322923,"Employee_Division","2017","9305"
350097,"Employee_Division","2017","9305"
361132,"Employee_Division","2017","9305"
244417,"Employee_Division","2017","9306"
252482,"Employee_Division","2017","9335"
469514,"Employee_Division","2017","9302"
19136,"Employee_Division","2017","9498"
433748,"Employee_Division","2017","9336"
360260,"Employee_Division","2017","9337"
277145,"Employee_Division","2017","9370"
322606,"Employee_Division","2017","9307"
457462,"Employee_Division","2017","9377"
19971,"Employee_Division","2017","9374"
161320,"Employee_Division","2017","9374"
334834,"Employee_Division","2017","9295"
440415,"Employee_Division","2017","9289"
262032,"Employee_Division","2017","9309"
179093,"Employee_Division","2017","9303"
21058,"Employee_Division","2017","9326"
409573,"Employee_Division","2017","9375"
232649,"Employee_Division","2017","9375"
105480,"Employee_Division","2017","8800"
349973,"Employee_Division","2017","9553"
98772,"Employee_Division","2017","9308"
159416,"Employee_Division","2017","9308"
159556,"Employee_Division","2017","9308"
189283,"Employee_Division","2017","9308"
205115,"Employee_Division","2017","9308"
244693,"Employee_Division","2017","9308"
250258,"Employee_Division","2017","9308"
259270,"Employee_Division","2017","9308"
265392,"Employee_Division","2017","9308"
288747,"Employee_Division","2017","9308"
302097,"Employee_Division","2017","9308"
321127,"Employee_Division","2017","9308"
332812,"Employee_Division","2017","9308"
334999,"Employee_Division","2017","9308"
355177,"Employee_Division","2017","9308"
366865,"Employee_Division","2017","9308"
156462,"Employee_Division","2017","9294"
175476,"Employee_Division","2017","9294"
246795,"Employee_Division","2017","9294"
280057,"Employee_Division","2017","9294"
336965,"Employee_Division","2017","9294"
337521,"Employee_Division","2017","9294"
419081,"Employee_Division","2017","9294"
21155,"Employee_Division","2017","9294"
196924,"Employee_Division","2017","9294"
318913,"Employee_Division","2017","9294"
345592,"Employee_Division","2017","9294"
345758,"Employee_Division","2017","9294"
355076,"Employee_Division","2017","9294"
369431,"Employee_Division","2017","9294"
410552,"Employee_Division","2017","9294"
336911,"Employee_Division","2017","9301"
372289,"Employee_Division","2017","9370"
188595,"Employee_Division","2017","NA"
433757,"Employee_Division","2017","9302"
458855,"Employee_Division","2017","8186"
291849,"Employee_Division","2017","9377"
379147,"Employee_Division","2017","9374"
392610,"Employee_Division","2017","9290"
270097,"Employee_Division","2017","9591"
343328,"Employee_Division","2017","9285"
348749,"Employee_Division","2017","9279"
152088,"Employee_Division","2017","9338"
331425,"Employee_Division","2017","9370"
148071,"Employee_Division","2017","NA"
181818,"Employee_Division","2017","9376"
304869,"Employee_Division","2017","9305"
393654,"Employee_Division","2017","9277"
308186,"Employee_Division","2017","9557"
336472,"Employee_Division","2017","9370"
370653,"Employee_Division","2017","9335"
410914,"Employee_Division","2017","9326"
221825,"Employee_Division","2017","9302"
235544,"Employee_Division","2017","1844"
434301,"Employee_Division","2017","1844"
446899,"Employee_Division","2017","NA"
81777,"Employee_Division","2017","9463"
271924,"Employee_Division","2017","9370"
279133,"Employee_Division","2017","9370"
293149,"Employee_Division","2017","9301"
260482,"Employee_Division","2017","9462"
323270,"Employee_Division","2017","1844"
265493,"Employee_Division","2017","9373"
362295,"Employee_Division","2017","8594"
285279,"Employee_Division","2017","9329"
183464,"Employee_Division","2017","9367"
462069,"Employee_Division","2017","9566"
295334,"Employee_Division","2017","9467"
391710,"Employee_Division","2017","9558"
22351,"Employee_Division","2017","9278"
355788,"Employee_Division","2017","9375"
459748,"Employee_Division","2017","9299"
64481,"Employee_Division","2017","9338"
105481,"Employee_Division","2017","9328"
364387,"Employee_Division","2017","8790"
365790,"Employee_Division","2017","9373"
175211,"Employee_Division","2017","9309"
377902,"Employee_Division","2017","9295"
361290,"Employee_Division","2017","9338"
419597,"Employee_Division","2017","9302"
405535,"Employee_Division","2017","9555"
323004,"Employee_Division","2017","8143"
363422,"Employee_Division","2017","9303"
288835,"Employee_Division","2017","9566"
338409,"Employee_Division","2017","7906"
458837,"Employee_Division","2017","9338"
315489,"Employee_Division","2017","9333"
261413,"Employee_Division","2017","9373"
439263,"Employee_Division","2017","9332"
84567,"Employee_Division","2017","9304"
219756,"Employee_Division","2017","9302"
337859,"Employee_Division","2017","8186"
339398,"Employee_Division","2017","9301"
303429,"Employee_Division","2017","9375"
232946,"Employee_Division","2017","9301"
279257,"Employee_Division","2017","9333"
355487,"Employee_Division","2017","9299"
105768,"Employee_Division","2017","9557"
327173,"Employee_Division","2017","9335"
113605,"Employee_Division","2017","9684"
450018,"Employee_Division","2017","9289"
390870,"Employee_Division","2017","9557"
444960,"Employee_Division","2017","9332"
203762,"Employee_Division","2017","9289"
415019,"Employee_Division","2017","9338"
258401,"Employee_Division","2017","9309"
258586,"Employee_Division","2017","9309"
342060,"Employee_Division","2017","9306"
369119,"Employee_Division","2017","9301"
19655,"Employee_Division","2017","NA"
19526,"Employee_Division","2017","9684"
384671,"Employee_Division","2017","9375"
200957,"Employee_Division","2017","9338"
