"Country","Period","X416","X2809","X915","X1541","X940","X944","X1026","X2013","x","y"
"Albania","2001",NA,NA,748461645.55,5.1,7.94,1326.97,1583646804.96,NA,-25.2850318675149,11.120199038406
"Albania","2002",NA,NA,869225487.84,3.04,4.23,1453.64,1966308371.88,NA,-26.5037354649829,10.9717139326347
"Albania","2003",NA,9491000,1169843189.95,3.1,5.77,1890.68,2590993958.27,NA,-26.4896050391402,11.7556443346783
"Albania","2004",NA,15614000,1608022160.19,4.67,5.71,2416.59,3245963304,NA,-26.8091420472999,13.0303164822439
"Albania","2005",NA,36406000,1862113160.77,3.22,5.72,2709.14,3872963233.31,NA,-27.3131414160999,12.5124552353839
"Albania","2006",NA,116677000,2242225040.11,3.62,5.43,3005.01,4363324818.51,NA,-19.424735302562,20.8041095848785
"Albania","2007",NA,208860000,3005295931.9,6.1,5.9,3603.01,5862891872.97,0.09,-14.8247151226717,18.1675519803002
"Albania","2008",NA,85266000,3811621610.93,9.63,7.53,4370.54,7269867619.61,0.15,23.0940897646234,-0.761879939608908
"Albania","2009",NA,48013000,3565191443.08,11.15,3.35,4114.14,6474811754.5,NA,23.5670597976865,-0.358129130265653
"Albania","2010",62.17,194290000,3869105644.41,9.13,3.71,4094.36,6324212520.35,NA,25.4875294683598,0.9525230421562
"Albania","2011",62.34,116851000,4384659124.83,8.14,2.55,4437.81,7315461380.64,NA,25.4027790922221,0.404039288624674
"Albania","2012",58.67,57536000,4108850594.26,7.47,1.42,4247.84,6404670234.03,NA,25.9612684255149,0.760108163154802
"Albania","2013",58.9,NA,4530754729.64,9.81,1.11,4412.35,6835365179.09,NA,31.5616882466633,31.8633436885913
"Albania","2014",59.37,NA,3732085800.8,8.66,2,4588.65,6243050922.84,NA,26.2982667878565,-0.165492660206585
"Albania","2015",66.77,NA,3105037440.22,8.57,2.56,3965.02,5070768048.47,NA,-23.120178693302,-4.27948113593688
"American Samoa","2004",NA,NA,NA,NA,NA,NA,NA,NA,-34.1791513730701,-29.8956371286921
"American Samoa","2005",NA,NA,NA,NA,NA,NA,NA,NA,-35.9966248719991,-28.6188511756237
